Volume ID,Main Shelfmark,Internal Parts,URL
1,MS. Georg. c. 1 (P),Single Part,https://hebrew.bodleian.ox.ac.uk/catalog/volume_1
2,MS. Georg. d. 3 (P),Single Part,https://hebrew.bodleian.ox.ac.uk/catalog/volume_2
3,MS. Heb. a. 1,MS. Heb. a. 1/1 | MS. Heb. a. 1/2,https://hebrew.bodleian.ox.ac.uk/catalog/volume_3
4,MS. Heb. a. 2,MS. Heb. a. 2/1 | MS. Heb. a. 2/2 | MS. Heb. a. 2/3 | MS. Heb. a. 2/4 | MS. Heb. a. 2/5 | MS. Heb. a. 2/6 | MS. Heb. a. 2/7 | MS. Heb. a. 2/8 | MS. Heb. a. 2/9 | MS. Heb. a. 2/10 | MS. Heb. a. 2/11 | MS. Heb. a. 2/12 | MS. Heb. a. 2/13 | MS. Heb. a. 2/14 | MS. Heb. a. 2/15 | MS. Heb. a. 2/16 | MS. Heb. a. 2/17 | MS. Heb. a. 2/18 | MS. Heb. a. 2/19 | MS. Heb. a. 2/20 | MS. Heb. a. 2/21 | MS. Heb. a. 2/22 | MS. Heb. a. 2/23 | MS. Heb. a. 2/24,https://hebrew.bodleian.ox.ac.uk/catalog/volume_4
5,MS. Heb. a. 3,MS. Heb. a. 3/1 | MS. Heb. a. 3/2 | MS. Heb. a. 3/3 | MS. Heb. a. 3/4 | MS. Heb. a. 3/5 | MS. Heb. a. 3/6 | MS. Heb. a. 3/7 | MS. Heb. a. 3/8 | MS. Heb. a. 3/9 | MS. Heb. a. 3/10 | MS. Heb. a. 3/11 | MS. Heb. a. 3/12 | MS. Heb. a. 3/13 | MS. Heb. a. 3/14 | MS. Heb. a. 3/15 | MS. Heb. a. 3/16 | MS. Heb. a. 3/17 | MS. Heb. a. 3/18 | MS. Heb. a. 3/19 | MS. Heb. a. 3/20 | MS. Heb. a. 3/21 | MS. Heb. a. 3/22 | MS. Heb. a. 3/23 | MS. Heb. a. 3/24 | MS. Heb. a. 3/25 | MS. Heb. a. 3/26 | MS. Heb. a. 3/27 | MS. Heb. a. 3/28 | MS. Heb. a. 3/29 | MS. Heb. a. 3/30 | MS. Heb. a. 3/31 | MS. Heb. a. 3/32 | MS. Heb. a. 3/33 | MS. Heb. a. 3/34 | MS. Heb. a. 3/35 | MS. Heb. a. 3/36 | MS. Heb. a. 3/37 | MS. Heb. a. 3/38 | MS. Heb. a. 3/39 | MS. Heb. a. 3/40 | MS. Heb. a. 3/41 | MS. Heb. a. 3/42 | MS. Heb. a. 3/43 | MS. Heb. a. 3/44 | MS. Heb. a. 3/45 | MS. Heb. a. 3/46,https://hebrew.bodleian.ox.ac.uk/catalog/volume_5
6,MS. Heb. a. 4,Single Part,https://hebrew.bodleian.ox.ac.uk/catalog/volume_6
7,MS. Heb. b. 1,MS. Heb. b. 1/1 | MS. Heb. b. 1/2 | MS. Heb. b. 1/3 | MS. Heb. b. 1/4 | MS. Heb. b. 1/5 | MS. Heb. b. 1/6 | MS. Heb. b. 1/7 | MS. Heb. b. 1/8 | MS. Heb. b. 1/9,https://hebrew.bodleian.ox.ac.uk/catalog/volume_7
8,MS. Heb. b. 10,MS. Heb. b. 10/1 | MS. Heb. b. 10/2 | MS. Heb. b. 10/3 | MS. Heb. b. 10/4 | MS. Heb. b. 10/5 | MS. Heb. b. 10/6 | MS. Heb. b. 10/7 | MS. Heb. b. 10/8 | MS. Heb. b. 10/9 | MS. Heb. b. 10/10 | MS. Heb. b. 10/11 | MS. Heb. b. 10/12 | MS. Heb. b. 10/13 | MS. Heb. b. 10/14 | MS. Heb. b. 10/15 | MS. Heb. b. 10/16 | MS. Heb. b. 10/17 | MS. Heb. b. 10/18 | MS. Heb. b. 10/19 | MS. Heb. b. 10/20 | MS. Heb. b. 10/21 | MS. Heb. b. 10/22 | MS. Heb. b. 10/23 | MS. Heb. b. 10/24 | MS. Heb. b. 10/25 | MS. Heb. b. 10/26 | MS. Heb. b. 10/27 | MS. Heb. b. 10/28 | MS. Heb. b. 10/29 | MS. Heb. b. 10/30 | MS. Heb. b. 10/31 | MS. Heb. b. 10/32 | MS. Heb. b. 10/33 | MS. Heb. b. 10/34 | MS. Heb. b. 10/35 | MS. Heb. b. 10/36 | MS. Heb. b. 10/37 | MS. Heb. b. 10/38 | MS. Heb. b. 10/39 | MS. Heb. b. 10/40 | MS. Heb. b. 10/41 | MS. Heb. b. 10/42 | MS. Heb. b. 10/43 | MS. Heb. b. 10/44 | MS. Heb. b. 10/45,https://hebrew.bodleian.ox.ac.uk/catalog/volume_8
9,MS. Heb. b. 11,MS. Heb. b. 11/1 | MS. Heb. b. 11/2 | MS. Heb. b. 11/3 | MS. Heb. b. 11/4 | MS. Heb. b. 11/5 | MS. Heb. b. 11/6 | MS. Heb. b. 11/7 | MS. Heb. b. 11/8 | MS. Heb. b. 11/9 | MS. Heb. b. 11/10 | MS. Heb. b. 11/11 | MS. Heb. b. 11/12 | MS. Heb. b. 11/13 | MS. Heb. b. 11/14 | MS. Heb. b. 11/15 | MS. Heb. b. 11/16 | MS. Heb. b. 11/17 | MS. Heb. b. 11/18 | MS. Heb. b. 11/19 | MS. Heb. b. 11/20 | MS. Heb. b. 11/21 | MS. Heb. b. 11/22 | MS. Heb. b. 11/23 | MS. Heb. b. 11/24 | MS. Heb. b. 11/25 | MS. Heb. b. 11/26 | MS. Heb. b. 11/27 | MS. Heb. b. 11/28 | MS. Heb. b. 11/29 | MS. Heb. b. 11/30 | MS. Heb. b. 11/31 | MS. Heb. b. 11/32 | MS. Heb. b. 11/33 | MS. Heb. b. 11/34 | MS. Heb. b. 11/35,https://hebrew.bodleian.ox.ac.uk/catalog/volume_9
10,MS. Heb. b. 12,MS. Heb. b. 12/1 | MS. Heb. b. 12/2 | MS. Heb. b. 12/3 | MS. Heb. b. 12/4 | MS. Heb. b. 12/5 | MS. Heb. b. 12/6 | MS. Heb. b. 12/7 | MS. Heb. b. 12/8 | MS. Heb. b. 12/9 | MS. Heb. b. 12/10 | MS. Heb. b. 12/11 | MS. Heb. b. 12/12 | MS. Heb. b. 12/13 | MS. Heb. b. 12/14 | MS. Heb. b. 12/15 | MS. Heb. b. 12/16 | MS. Heb. b. 12/17 | MS. Heb. b. 12/18 | MS. Heb. b. 12/19 | MS. Heb. b. 12/20 | MS. Heb. b. 12/21 | MS. Heb. b. 12/22 | MS. Heb. b. 12/23 | MS. Heb. b. 12/24 | MS. Heb. b. 12/25 | MS. Heb. b. 12/26 | MS. Heb. b. 12/27 | MS. Heb. b. 12/28 | MS. Heb. b. 12/29 | MS. Heb. b. 12/30 | MS. Heb. b. 12/31 | MS. Heb. b. 12/32 | MS. Heb. b. 12/33,https://hebrew.bodleian.ox.ac.uk/catalog/volume_10
11,MS. Heb. b. 13,MS. Heb. b. 13/1 | MS. Heb. b. 13/2 | MS. Heb. b. 13/3 | MS. Heb. b. 13/4 | MS. Heb. b. 13/5 | MS. Heb. b. 13/6 | MS. Heb. b. 13/7 | MS. Heb. b. 13/8 | MS. Heb. b. 13/9 | MS. Heb. b. 13/10 | MS. Heb. b. 13/11 | MS. Heb. b. 13/12 | MS. Heb. b. 13/13 | MS. Heb. b. 13/14 | MS. Heb. b. 13/15 | MS. Heb. b. 13/16 | MS. Heb. b. 13/17 | MS. Heb. b. 13/18 | MS. Heb. b. 13/19 | MS. Heb. b. 13/20 | MS. Heb. b. 13/21 | MS. Heb. b. 13/22 | MS. Heb. b. 13/23 | MS. Heb. b. 13/24 | MS. Heb. b. 13/25 | MS. Heb. b. 13/26 | MS. Heb. b. 13/27 | MS. Heb. b. 13/28 | MS. Heb. b. 13/29 | MS. Heb. b. 13/30 | MS. Heb. b. 13/31 | MS. Heb. b. 13/32 | MS. Heb. b. 13/33 | MS. Heb. b. 13/34 | MS. Heb. b. 13/35 | MS. Heb. b. 13/36,https://hebrew.bodleian.ox.ac.uk/catalog/volume_11
12,MS. Heb. b. 17,MS. Heb. b. 17/1 | MS. Heb. b. 17/2 | MS. Heb. b. 17/3 | MS. Heb. b. 17/4 | MS. Heb. b. 17/5 | MS. Heb. b. 17/6 | MS. Heb. b. 17/7 | MS. Heb. b. 17/8 | MS. Heb. b. 17/9 | MS. Heb. b. 17/10 | MS. Heb. b. 17/11 | MS. Heb. b. 17/12 | MS. Heb. b. 17/13 | MS. Heb. b. 17/14 | MS. Heb. b. 17/15 | MS. Heb. b. 17/16 | MS. Heb. b. 17/17 | MS. Heb. b. 17/18 | MS. Heb. b. 17/19 | MS. Heb. b. 17/20 | MS. Heb. b. 17/21 | MS. Heb. b. 17/22 | MS. Heb. b. 17/23 | MS. Heb. b. 17/24,https://hebrew.bodleian.ox.ac.uk/catalog/volume_12
13,MS. Heb. b. 18,MS. Heb. b. 18/1 | MS. Heb. b. 18/2 | MS. Heb. b. 18/3 | MS. Heb. b. 18/4 | MS. Heb. b. 18/5 | MS. Heb. b. 18/6 | MS. Heb. b. 18/7 | MS. Heb. b. 18/8,https://hebrew.bodleian.ox.ac.uk/catalog/volume_13
14,MS. Heb. b. 2,MS. Heb. b. 2/1 | MS. Heb. b. 2/2 | MS. Heb. b. 2/3 | MS. Heb. b. 2/4 | MS. Heb. b. 2/5 | MS. Heb. b. 2/6 | MS. Heb. b. 2/7 | MS. Heb. b. 2/8 | MS. Heb. b. 2/9 | MS. Heb. b. 2/10 | MS. Heb. b. 2/11 | MS. Heb. b. 2/12 | MS. Heb. b. 2/13 | MS. Heb. b. 2/14 | MS. Heb. b. 2/15,https://hebrew.bodleian.ox.ac.uk/catalog/volume_14
15,MS. Heb. b. 3,MS. Heb. b. 3/1 | MS. Heb. b. 3/2 | MS. Heb. b. 3/3 | MS. Heb. b. 3/4 | MS. Heb. b. 3/5 | MS. Heb. b. 3/6 | MS. Heb. b. 3/7 | MS. Heb. b. 3/8 | MS. Heb. b. 3/9 | MS. Heb. b. 3/10 | MS. Heb. b. 3/11 | MS. Heb. b. 3/12 | MS. Heb. b. 3/13 | MS. Heb. b. 3/14 | MS. Heb. b. 3/15 | MS. Heb. b. 3/16 | MS. Heb. b. 3/17 | MS. Heb. b. 3/18 | MS. Heb. b. 3/19 | MS. Heb. b. 3/20 | MS. Heb. b. 3/21 | MS. Heb. b. 3/22 | MS. Heb. b. 3/23 | MS. Heb. b. 3/24 | MS. Heb. b. 3/25 | MS. Heb. b. 3/26 | MS. Heb. b. 3/27 | MS. Heb. b. 3/28 | MS. Heb. b. 3/29 | MS. Heb. b. 3/30 | MS. Heb. b. 3/31 | MS. Heb. b. 3/32 | MS. Heb. b. 3/33 | MS. Heb. b. 3/34,https://hebrew.bodleian.ox.ac.uk/catalog/volume_15
16,MS. Heb. b. 4,MS. Heb. b. 4/1 | MS. Heb. b. 4/2 | MS. Heb. b. 4/3 | MS. Heb. b. 4/4 | MS. Heb. b. 4/5 | MS. Heb. b. 4/6 | MS. Heb. b. 4/7 | MS. Heb. b. 4/8 | MS. Heb. b. 4/9 | MS. Heb. b. 4/10 | MS. Heb. b. 4/11 | MS. Heb. b. 4/12 | MS. Heb. b. 4/13 | MS. Heb. b. 4/14 | MS. Heb. b. 4/15 | MS. Heb. b. 4/16 | MS. Heb. b. 4/17 | MS. Heb. b. 4/18 | MS. Heb. b. 4/19,https://hebrew.bodleian.ox.ac.uk/catalog/volume_16
17,MS. Heb. b. 5,MS. Heb. b. 5/1 | MS. Heb. b. 5/2 | MS. Heb. b. 5/3 | MS. Heb. b. 5/4 | MS. Heb. b. 5/5 | MS. Heb. b. 5/6 | MS. Heb. b. 5/7 | MS. Heb. b. 5/8 | MS. Heb. b. 5/9 | MS. Heb. b. 5/10 | MS. Heb. b. 5/11 | MS. Heb. b. 5/12 | MS. Heb. b. 5/13 | MS. Heb. b. 5/14 | MS. Heb. b. 5/15 | MS. Heb. b. 5/16 | MS. Heb. b. 5/17 | MS. Heb. b. 5/18 | MS. Heb. b. 5/19,https://hebrew.bodleian.ox.ac.uk/catalog/volume_17
18,MS. Heb. b. 7,MS. Heb. b. 7/1 | MS. Heb. b. 7/2 | MS. Heb. b. 7/3 | MS. Heb. b. 7/4 | MS. Heb. b. 7/5 | MS. Heb. b. 7/6 | MS. Heb. b. 7/7 | MS. Heb. b. 7/8 | MS. Heb. b. 7/9 | MS. Heb. b. 7/10 | MS. Heb. b. 7/11 | MS. Heb. b. 7/12 | MS. Heb. b. 7/13 | MS. Heb. b. 7/14 | MS. Heb. b. 7/15 | MS. Heb. b. 7/16 | MS. Heb. b. 7/17 | MS. Heb. b. 7/18 | MS. Heb. b. 7/19 | MS. Heb. b. 7/20 | MS. Heb. b. 7/21 | MS. Heb. b. 7/22 | MS. Heb. b. 7/23 | MS. Heb. b. 7/24 | MS. Heb. b. 7/25 | MS. Heb. b. 7/26 | MS. Heb. b. 7/27 | MS. Heb. b. 7/28 | MS. Heb. b. 7/29 | MS. Heb. b. 7/30 | MS. Heb. b. 7/31 | MS. Heb. b. 7/32 | MS. Heb. b. 7/33 | MS. Heb. b. 7/34,https://hebrew.bodleian.ox.ac.uk/catalog/volume_18
19,MS. Heb. b. 8,MS. Heb. b. 8/1 | MS. Heb. b. 8/2 | MS. Heb. b. 8/3 | MS. Heb. b. 8/4 | MS. Heb. b. 8/5 | MS. Heb. b. 8/6 | MS. Heb. b. 8/7 | MS. Heb. b. 8/8 | MS. Heb. b. 8/9 | MS. Heb. b. 8/10 | MS. Heb. b. 8/11 | MS. Heb. b. 8/12 | MS. Heb. b. 8/13 | MS. Heb. b. 8/14 | MS. Heb. b. 8/15 | MS. Heb. b. 8/16 | MS. Heb. b. 8/17 | MS. Heb. b. 8/18 | MS. Heb. b. 8/19 | MS. Heb. b. 8/20 | MS. Heb. b. 8/21 | MS. Heb. b. 8/22 | MS. Heb. b. 8/23 | MS. Heb. b. 8/24 | MS. Heb. b. 8/25 | MS. Heb. b. 8/26 | MS. Heb. b. 8/27 | MS. Heb. b. 8/28 | MS. Heb. b. 8/29 | MS. Heb. b. 8/30 | MS. Heb. b. 8/31 | MS. Heb. b. 8/32 | MS. Heb. b. 8/33 | MS. Heb. b. 8/34 | MS. Heb. b. 8/35 | MS. Heb. b. 8/36 | MS. Heb. b. 8/37 | MS. Heb. b. 8/38,https://hebrew.bodleian.ox.ac.uk/catalog/volume_19
