סימן מדף,סוג,חיבור,סיכום,FGP מקומי,הערות,ספרייה,קישורים
T-S Ar.47.94,דיון,"סידור ר׳ שלמה בן נתן, פרק ד",רב האי ורס״ג: התוספות אינן אלא מנהג ויש המשמיטים אותן; אמירה נוספת של רב האי לקיימן בהתאם למנהג.,לא נמצא,"הפסקה פורסמה אצל נסים סבתו, גנזי קדם יז, עמ׳ 117–118; צילום נבדק בשיחה.",Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051318970205171&page=2&volume_ie=IE166766312
Ms. EVR ARAB II 469,מוצא לא אומת,סידור ר׳ שלמה בן נתן — זיהוי לפי מקבילה,"עד נוסף לפסקה על רב האי, זכרינו לחיים ומנהג התוספות; בהמשך מלוך על כל העולם.",לא נמצא,הקטלוג הכללי מציג חיבור בפילוסופיה על ברכות. יש שני רצפי צילום לאותו סימן מדף; נספר פעם אחת. אין להניח שמוצאו בגניזת קהיר.,The National Library of Russia,https://genizahsearch.com/browse?sys_id=990001597270205171&page=6&volume_ie=IE48179208
T-S NS 157.101,דיון,"ישראל בן שמואל בן חפני, כתאב פי אלצלוה, פרק כט — לפי הקטלוג","מונה זכור רחמיך וכבוש כעסך במודים, תוספת בברכת שים שלום, וידוי יום הכיפורים ושינוי החתימות בעשרת ימי תשובה.",לא נמצא,קטע בעל חשיבות למיפוי התוספות בתקופת הגאונים; לא נבדקה מהדורת החיבור.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051089570205171&page=1&volume_ie=IE167143657
T-S F8.84,דיון,ספר השלחן — לפי הקטלוג,דיון באורך הברכות ובהוספת פיוטים; זכרנו ומי כמוך בראשונות ובאחרונות משמשים דוגמה לנוהג ההוספה.,לא נמצא,נזכרים דברי ר׳ שלמה ב״א; אין כאן זיהוי עצמאי של מהדורה או חידוש נוסח. צילום נבדק: כתב יד.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051174680205171&page=12&volume_ie=IE164875641
T-S Misc.35.97,דיון,פולמוס פרקוי בן באבוי,מחלוקת החתימות המלך הקדוש והמלך המשפט משמשת טיעון נגד הוספת אות לנוסח חכמים.,לא נמצא,"פולמוס הלכתי, לא נוסח תפילה בלבד.",Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051125810205171&page=2&volume_ie=IE166135327
Ms. Evr. Antonin B 862,דיון,הלכות גדולות — לפי הקטלוג,מחיל את איסור שאלת הצרכים בראשונות ובאחרונות על זכרנו לחיים וזכור רחמיך; מבחין ביחס לבספר חיים בסיום התפילה.,לא נמצא,קריאת המשפטים האמצעיים משובשת; התוכן העקרוני מוכר בדפוס. כרך IE57584599 חיוני לאיתור הדף.,The National Library of Russia,https://genizahsearch.com/browse?sys_id=990001667410205171&page=6&volume_ie=IE57584599
Ms. Evr. Antonin B 330,דיון,תשובות הגאונים — לפי הקטלוג,שאלה מפורשת על טעות בהמלך הקדוש ובהמלך המשפט; בתשובה נידון ההבדל בין קודם סיום התפילה ולאחריו.,לא נמצא,התעתיק פגום. אין לקבוע את נוסח הפסיקה בלי צילום; מקבילה קרובה מופיעה בארחות חיים.,The National Library of Russia,https://genizahsearch.com/browse?sys_id=990001662380205171&page=4&volume_ie=IE36929967
T-S Ar.36.107,דיון,סידור ר׳ שלמה בן נתן — לפי הקטלוג,מי ששכח המלך המשפט ונזכר קודם סיום התפילה חוזר לברכה המתאימה.,לא נמצא,נבדק עמ׳ 6. בחיפוש עלה גם עמ׳ 5 על שכחת המלך הקדוש; עמ׳ 5 לא נבדק ב-browse במסגרת הסבב.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051293870205171&page=6&volume_ie=IE167073495
T-S NS 36.16,דיון,סידור רס״ג — לפי הקטלוג,מי שלא אמר המלך המשפט במקומו חוזר מאותה ברכה עד סוף התפילה.,לא נמצא,הוראה בערבית־יהודית בתוך דיני טעויות בתפילה.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051085140205171&page=1&volume_ie=IE159961345
T-S Ar.50.186b,דיון,סידור רס״ג — לפי הקטלוג,"מסביר שבין א׳ בתשרי ליום הכיפורים משתנות חתימות הברכה השלישית והאחת־עשרה, לציון ימי התשובה.",לא נמצא,בסמוך דיון כללי בשינויים ובשיבושים בתפילות; אין להסיק אוטומטית שהוא מכוון דווקא לתוספות האלה.,Cambridge University Library,https://genizahsearch.com/browse?sys_id=990051073880205171&page=2&volume_ie=IE166839338
