cudl_classmark,cudl_label,cudl_manifest_url,best_delta,neighbor_norm,neighbor_sys_id,neighbor_call_numbers,all_neighbors
ts12.749,MS-TS-00012-00749,http://cudl.lib.cam.ac.uk/iiif/MS-TS-00012-00749,-1,ts12.748,990051339950205171,Cambridge University Library Ms. T-S 12.748 | Ms. T-S 12.748 | T-S 12.748,d-1=ts12.748->990051339950205171; d-2=ts12.747->990051339940205171; d+2=ts12.751->990051339980205171
ts12.750,MS-TS-00012-00750,http://cudl.lib.cam.ac.uk/iiif/MS-TS-00012-00750,1,ts12.751,990051339980205171,Cambridge University Library Ms. T-S 12.751 | Cambridge University Library Ms. T-S 12.752 | Cambridge University Library Ms. T-S 12.753 | Ms. T-S 12.751 | Ms. T-S 12.752 | Ms. T-S 12.753 | T-S 12.751 | T-S 12.752 | T-S 12.753,d+1=ts12.751->990051339980205171; d-2=ts12.748->990051339950205171
tsar28.164,MS-TS-AR-00028-00164,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AR-00028-00164,-1,tsar28.163,990051276570205171,Cambridge University Library Ms. T-S Ar. 28.163 | Ms. T-S Ar. 28.163 | T-S Ar.28.163,d-1=tsar28.163->990051276570205171; d+1=tsar28.165->990051276600205171; d-2=tsar28.162->990051276560205171; d+2=tsar28.166->990051276610205171
tsar39.324,MS-TS-AR-00039-00324,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AR-00039-00324,-1,tsar39.323,990051301500205171,Cambridge University Library Ms. T-S Ar. 39.323 | Ms. T-S Ar. 39.323 | T-S Ar.39.323,d-1=tsar39.323->990051301500205171; d+1=tsar39.325->990051301530205171; d-2=tsar39.322->990051301490205171; d+2=tsar39.326->990051301540205171
tsar50.181,MS-TS-AR-00050-00181,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AR-00050-00181,-1,tsar50.180,990051325330205171,Cambridge University Library Ms. T-S Ar. 50.180 | Ms. T-S Ar. 50.180 | T-S Ar.50.180,d-1=tsar50.180->990051325330205171; d-2=tsar50.179->990051325320205171
tsas74.41,MS-TS-AS-00074-00041,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00074-00041,-1,tsas74.40,990051926500205171,Cambridge University Library Ms. T-S AS 74.40 | Ms. T-S AS 74.40 | T-S AS 74.40,d-1=tsas74.40->990051926500205171; d+1=tsas74.42->990051926510205171; d-2=tsas74.39->990051926490205171; d+2=tsas74.43->990051926520205171
tsas74.102,MS-TS-AS-00074-00102,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00074-00102,-1,tsas74.101,990051927100205171,T-S AS 74.101,d-1=tsas74.101->990051927100205171; d+1=tsas74.103->990051927110205171; d-2=tsas74.100->990051927090205171; d+2=tsas74.104->990051927120205171
tsas82.129,MS-TS-AS-00082-00129,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00082-00129,-1,tsas82.128,990051946370205171,Cambridge University Library Ms. T-S AS 82.128 | Ms. T-S AS 82.128 | T-S AS 82.128,d-1=tsas82.128->990051946370205171; d+1=tsas82.130->990051946380205171; d-2=tsas82.127->990051946360205171; d+2=tsas82.131->990051946390205171
tsas82.137,MS-TS-AS-00082-00137,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00082-00137,-1,tsas82.136,990051946440205171,T-S AS 82.136,d-1=tsas82.136->990051946440205171; d-2=tsas82.135->990051946430205171; d+2=tsas82.139->990051946450205171
tsas82.138,MS-TS-AS-00082-00138,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00082-00138,1,tsas82.139,990051946450205171,T-S AS 82.139,d+1=tsas82.139->990051946450205171; d-2=tsas82.136->990051946440205171; d+2=tsas82.140->990051946460205171
tsas82.169,MS-TS-AS-00082-00169,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00082-00169,-1,tsas82.168,990051946740205171,Cambridge University Library Ms. T-S AS 82.168 | Ms. T-S AS 82.168 | T-S AS 82.168,d-1=tsas82.168->990051946740205171; d+1=tsas82.170->990051946750205171; d-2=tsas82.167->990051946730205171; d+2=tsas82.171->990051946760205171
tsas82.227,MS-TS-AS-00082-00227,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00082-00227,-1,tsas82.226,990051947310205171,Cambridge University Library Ms. T-S AS 82.226 | Ms. T-S AS 82.226 | T-S AS 82.226,d-1=tsas82.226->990051947310205171; d+1=tsas82.228->990051947320205171; d-2=tsas82.225->990051947300205171; d+2=tsas82.229->990051947330205171
tsas83.80,MS-TS-AS-00083-00080,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AS-00083-00080,-1,tsas83.79,990025044500205171,Cambridge University Library Ms. T-S AS 83.79 | Ms. T-S AS 83.79 | T-S AS 83.79,d-1=tsas83.79->990025044500205171; d-2=tsas83.78->990025044750205171; d+2=tsas83.82->990025044950205171
