system_number,oxford_part_id,call_numbers,library_code,,,,titles_non_placeholder
990000848440205171,,Yevr. II A 167,RNL,,,,
990000850000205171,,Yevr. II A 223/4,RNL,,,,"פירוש רש""י למקרא"
990000853730205171,,Yevr.-Arab. I 1679,RNL,,,,
990000853900205171,,Yevr.-Arab. II 2213,RNL,,,,דלאלה אלחאירין
990000889320205171,,Yevr. II A 1724,RNL,,,,
990000895670205171,,Yevr. IV 207,RNL,,,,משנה תורה
990000909460205171,,Yevr. II A 1804,RNL,,,,
990000924080205171,,Yevr. III B 1092 | Yevr. III B 1092(lost),RNL,,,,"הלכות הרי""ף"
990000950990205171,,Arab.-Yevr. 53,RNL,,,,כתאב אלאסתבצאר
990000951080205171,,Arab.-Yevr. 141,RNL,,,,כתאב אלאסתבצאר
990000951170205171,,37,HAS,,,,זוהר
990000997310205171,,Yevr.-Arab. II 3390,RNL,,,,"שאלות ותשובות [רמב""ם]"
990001003810205171,,36,HAS,,,,תלמוד בבלי [טקסט]
990001003870205171,,39,HAS,,,,מדרש תהלים
990001003950205171,,31,HAS,,,,
990001003970205171,,32,HAS,,,,
990001004110205171,,6,HAS,,,,
990001004150205171,,9,HAS,,,,מקרא [טקסט]
990001004190205171,,11,HAS,,,,
990001004250205171,,16,HAS,,,,
990001004360205171,,26,HAS,,,,
990001059630205171,,416,HAS,,,,
990001226850205171,,Yevr.-Arab. II 3429,RNL,,,,
990001261350205171,,61,HAS,,,,
990001261620205171,,44,HAS,,,,
990001261690205171,,50,HAS,,,,
990001261840205171,,75,HAS,,,,
990001261970205171,,85,HAS,,,,משנה תורה
990001262000205171,,86,HAS,,,,
990001262070205171,,89,HAS,,,,
990001262230205171,,93,HAS,,,,תרגום אונקלוס
990001262380205171,,116,HAS,,,,
990001262420205171,,119,HAS,,,,משנה תורה
990001262430205171,,120,HAS,,,,
990001262450205171,,122,HAS,,,,
990001262660205171,,137,HAS,,,,
990001262780205171,,147,HAS,,,,
990001262870205171,,154,HAS,,,,
