pgpid,shelfmark,issue_type,details
7850,JRL B B 7223 + T-S 16.23 + T-S AS 166.95,unmatched_fragment,"Fragment ""JRL B B 7223"" (normalized: ""jrl b b 7223"") not found in libraries.csv"
5362,T-S 8J9.2 + T-S 8J9.2–3,unmatched_fragment,"Fragment ""T-S 8J9.2–3"" (normalized: ""t-s 8j9.2-3"") not found in libraries.csv"
21239,T-S Misc.51.103 + T-S Ar.51.113 + T-S Ar.51.103,unmatched_fragment,"Fragment ""T-S Misc.51.103"" (normalized: ""t-s misc.51.103"") not found in libraries.csv"
1436,T-S NS J401u + T-S NS J401l,unmatched_fragment,"Fragment ""T-S NS J401u"" (normalized: ""t-s ns j401u"") not found in libraries.csv"
620,T-S 10J12.22 + DK 123,unmatched_fragment,"Fragment ""DK 123"" (normalized: ""dk 123"") not found in libraries.csv"
623,T-S AS 153.82 + DK 166,unmatched_fragment,"Fragment ""DK 166"" (normalized: ""dk 166"") not found in libraries.csv"
630,T-S AS 146.3 + DK 242 (alt: XXI),unmatched_fragment,"Fragment ""DK 242 (alt: XXI)"" (normalized: ""dk 242 (alt: xxi)"") not found in libraries.csv"
40831,"Moss. Xa, 3.43 + Moss. IXa,2.24",unmatched_fragment,"Fragment ""Moss. Xa, 3.43"" (normalized: ""moss. xa, 3.43"") not found in libraries.csv"
34548,T-S 10J32.1 + Lévi 1900b + T-S NS 98.18 + Bodl. MS heb. d 74/27,unmatched_fragment,"Fragment ""Lévi 1900b"" (normalized: ""lévi 1900b"") not found in libraries.csv"
30851,T-S C2.209 + ENA 4045.2 + JRL B 5446 + T-S F13.1 + T-S 13.20 + ENA 3751.5,unmatched_fragment,"Fragment ""T-S 13.20"" (normalized: ""t-s 13.20"") not found in libraries.csv"
6568,T-S AS 151.31 + DK 239.1,unmatched_fragment,"Fragment ""DK 239.1"" (normalized: ""dk 239.1"") not found in libraries.csv"
36583,"Moss. V,135.1 + Moss. V,109b",unmatched_fragment,"Fragment ""Moss. V,109b"" (normalized: ""moss. v,109b"") not found in libraries.csv"
4537,ENA 3846.6 + ENA 3846.7 + ENA 3846.6–7,unmatched_fragment,"Fragment ""ENA 3846.6–7"" (normalized: ""ena 3846.6-7"") not found in libraries.csv"
5306,ENA NS 77.? + ENA NS 77.280,unmatched_fragment,"Fragment ""ENA NS 77.?"" (normalized: ""ena ns 77.?"") not found in libraries.csv"
2526,CUL Or.1080 J125 + DK 357 + Bodl. MS heb. c 28/64,unmatched_fragment,"Fragment ""DK 357"" (normalized: ""dk 357"") not found in libraries.csv"
