normalized_key,sys_ids,variants
cambridgeuniversitylibrarylgmisc121,990053937210205171|990053937310205171,Cambridge University Library Ms. L-G Misc. 121|Cambridge University Library Ms. L-G Misc. 12 1
cambridgeuniversitylibrarylgtalmii71,990053930170205171|990001843600205171,Cambridge University Library Ms. L-G Talm. II 7 1|Cambridge University Library Ms. L-G Talm. II 71
cambridgeuniversitylibrarylgtalmii72,990053930190205171|990001843610205171,Cambridge University Library Ms. L-G Talm. II 7 2|Cambridge University Library Ms. L-G Talm. II 72
cambridgeuniversitylibraryts10k19,990051344480205171|990051344490205171|990051344500205171|990051344510205171,Cambridge University Library Ms. T-S 10 K 19
cambridgeuniversitylibrarytsk25.236,997012720577105171|990051218700205171,Cambridge University Library Ms. T-S K 25.236
cambridgeuniversitylibrarytsk27.16,990051233670205171|990051233680205171|990051233690205171,Cambridge University Library Ms. T-S K 27.16
cambridgeuniversitylibrarytsk7.15,990051207310205171|997011228208405171,Cambridge University Library Ms. T-S K 7.15
cambridgeuniversitylibrarytsk7.15a,997011219007005171|997011217208905171|997011219007105171|997011219008105171|997011219007205171|997011219006505171|997011219008405171|997011219007605171|997011219007905171,Cambridge University Library Ms. T-S K 7.15a
cambridgeuniversitylibrarytsns175.2,990051727320205171|990051727270205171|990051727290205171|990051727300205171,Cambridge University Library Ms. T-S NS 175.2
cambridgeuniversitylibrarytsns176.10,990051727400205171|990051727420205171|990051727430205171|990051727350205171|990051727370205171|990051727380205171|990051727390205171,Cambridge University Library Ms. T-S NS 176.10
cambridgeuniversitylibrarytsns178.4,990051727520205171|990051727540205171|990051727550205171|990051727560205171,Cambridge University Library Ms. T-S NS 178.4
cambridgeuniversitylibrarytsns178.8,990051727590205171|990051727580205171,Cambridge University Library Ms. T-S NS 178.8
cambridgeuniversitylibrarytsns259.2,990051730200205171|990051730210205171,Cambridge University Library Ms. T-S NS 259.2
cambridgeuniversitylibrarytsns291.30,990051730910205171|990051730900205171,Cambridge University Library Ms. T-S NS 291.30
cambridgeuniversitylibrarytsns308.89,990051106440205171|990051731050205171,Cambridge University Library Ms. T-S NS 308.89
cambridgeuniversitylibrarytsns309.31,990051731110205171|990051731120205171|990051731130205171,Cambridge University Library Ms. T-S NS 309.31
cambridgeuniversitylibrarytsns310.29,990051731270205171|990051731280205171,Cambridge University Library Ms. T-S NS 310.29
cambridgeuniversitylibrarytsns312.106,990051731650205171|990051705320205171,Cambridge University Library Ms. T-S NS 312.106
cambridgeuniversitylibrarytsns312.122,990051705440205171|990051731660205171,Cambridge University Library Ms. T-S NS 312.122
cambridgeuniversitylibrarytsns312.134,990051731670205171|990051108970205171,Cambridge University Library Ms. T-S NS 312.134
