cudl_classmark,cudl_label,cudl_manifest_url,best_delta,neighbor_norm,neighbor_sys_id,neighbor_call_numbers,all_neighbors
tsar28.164,MS-TS-AR-00028-00164,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AR-00028-00164,-1,tsar28.163,990051276570205171,Cambridge University Library Ms. T-S Ar. 28.163 | Ms. T-S Ar. 28.163 | T-S Ar.28.163,d-1=tsar28.163->990051276570205171; d+1=tsar28.165->990051276600205171; d-2=tsar28.162->990051276560205171; d+2=tsar28.166->990051276610205171
tsar39.324,MS-TS-AR-00039-00324,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AR-00039-00324,-1,tsar39.323,990051301500205171,Cambridge University Library Ms. T-S Ar. 39.323 | Ms. T-S Ar. 39.323 | T-S Ar.39.323,d-1=tsar39.323->990051301500205171; d+1=tsar39.325->990051301530205171; d-2=tsar39.322->990051301490205171; d+2=tsar39.326->990051301540205171
tsar50.181,MS-TS-AR-00050-00181,http://cudl.lib.cam.ac.uk/iiif/MS-TS-AR-00050-00181,-1,tsar50.180,990051325330205171,Cambridge University Library Ms. T-S Ar. 50.180 | Ms. T-S Ar. 50.180 | T-S Ar.50.180,d-1=tsar50.180->990051325330205171; d-2=tsar50.179->990051325320205171
tse1.17,MS-TS-E-00001-00017,http://cudl.lib.cam.ac.uk/iiif/MS-TS-E-00001-00017,-1,tse1.16,990051158460205171,Cambridge University Library Ms. T-S E 1.16 | Ms. T-S E 1.16 | T-S E1.16,d-1=tse1.16->990051158460205171; d-2=tse1.15->990051158450205171; d+2=tse1.19->990051158480205171
tsk25.240,MS-TS-K-00025-00240,http://cudl.lib.cam.ac.uk/iiif/MS-TS-K-00025-00240,-1,tsk25.239,990051218730205171,Cambridge University Library Ms. T-S K 25.239 | Ms. T-S K 25.239 | T-S K25.239,d-1=tsk25.239->990051218730205171; d+1=tsk25.241->990051219300205171; d-2=tsk25.238->990051218720205171; d+2=tsk25.242->990051219310205171
tsmisc10.38,MS-TS-MISC-00010-00038,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00010-00038,-1,tsmisc10.37,990051356070205171,Cambridge University Library Ms. T-S Misc. 10.37 | Ms. T-S Misc. 10.37 | T-S Misc.10.37,d-1=tsmisc10.37->990051356070205171; d+1=tsmisc10.39->990051356080205171; d-2=tsmisc10.36->990051356060205171; d+2=tsmisc10.40->990051356090205171
tsmisc20.53,MS-TS-MISC-00020-00053,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00020-00053,-1,tsmisc20.52,990051366440205171,Cambridge University Library Ms. T-S Misc. 20.52 | Ms. T-S Misc. 20.52 | T-S Misc.20.52,d-1=tsmisc20.52->990051366440205171; d+1=tsmisc20.54->990051366450205171; d-2=tsmisc20.51->990051082070205171; d+2=tsmisc20.55->990051366460205171
tsmisc20.158,MS-TS-MISC-00020-00158,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00020-00158,-1,tsmisc20.157,990051367380205171,Cambridge University Library Ms. T-S Misc. 20.157 | Ms. T-S Misc. 20.157 | T-S Misc.20.157,d-1=tsmisc20.157->990051367380205171; d+1=tsmisc20.159->990051082170205171; d-2=tsmisc20.156->990051367370205171; d+2=tsmisc20.160->997008739661205171
tsmisc22.165,MS-TS-MISC-00022-00165,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00022-00165,-1,tsmisc22.164,990051369560205171,Cambridge University Library Ms. T-S Misc. 22.164 | Ms. T-S Misc. 22.164 | T-S Misc.22.164,d-1=tsmisc22.164->990051369560205171; d+1=tsmisc22.166->990051369570205171; d-2=tsmisc22.163->990051369550205171; d+2=tsmisc22.167->990051369580205171
tsmisc22.221,MS-TS-MISC-00022-00221,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00022-00221,-1,tsmisc22.220,990051370070205171,Cambridge University Library Ms. T-S Misc. 22.220 | Ms. T-S Misc. 22.220 | T-S Misc.22.220,d-1=tsmisc22.220->990051370070205171; d+1=tsmisc22.222->990051370080205171; d-2=tsmisc22.219->990051370060205171; d+2=tsmisc22.223->990051370090205171
tsmisc30.67.21,MS-TS-MISC-00030-00067-00002-00001,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00030-00067-00002-00001,-1,tsmisc30.67.20,990051379920205171,Cambridge University Library Ms. T-S Misc. 30.67.20 | Ms. T-S Misc. 30.67.20 | T-S Misc.30.67.20,d-1=tsmisc30.67.20->990051379920205171; d-2=tsmisc30.67.19->990051379910205171
tsmisc30.67.22,MS-TS-MISC-00030-00067-00002-00002,http://cudl.lib.cam.ac.uk/iiif/MS-TS-MISC-00030-00067-00002-00002,-2,tsmisc30.67.20,990051379920205171,Cambridge University Library Ms. T-S Misc. 30.67.20 | Ms. T-S Misc. 30.67.20 | T-S Misc.30.67.20,d-2=tsmisc30.67.20->990051379920205171
