parent_shelfmark,synthetic_sys_id,inventory_id,real_child_count,sample_real_children
1331,990001749099000000,1749099,22,1331.18|1331.8|1331.10
1345,990000501099000000,501099,29,1345.13|1345.4|1345.23
1352,990001271099000000,1271099,21,1352.1|1352.23|1352.2
1355,990001272099000000,1272099,22,1355.16|1355.7|1355.8
1356,990001032099000000,1032099,21,1356.16|1356.1|1356.6
1394,990001034099000000,1034099,25,1394.4|1394.5|1394.13
153,990001422099000000,1422099,8,153.5|153.1|153.6
1629,990001039099000000,1039099,63,1629.62|1629.8|1629.26
1695,990001041099000000,1041099,6,1695.4|1695.5|1695.1
1717,990001042099000000,1042099,8,1717.5|1717.1|1717.6
1761,990001045099000000,1045099,25,1761.18|1761.9|1761.19
1777,990001048099000000,1048099,51,1777.2|1777.11|1777.20
184,990001428099000000,1428099,2,184.1|184.2
1918,990001056099000000,1056099,6,1918.5|1918.1|1918.6
2076,990001061099000000,1061099,4,2076.1|2076.2|2076.4
2093,990000642099000000,642099,5,2093.2|2093.5|2093.3
2172,990001063099000000,1063099,12,2172.4|2172.5|2172.6
222,990002214099000000,2214099,8,222.7|222.9|222.11
223,990002263099000000,2263099,4,223.1|223.2|223.3
231,990001461099000000,1461099,1,231.2
2437,990000241099000000,241099,29,2437.4|2437.22|2437.13
2486,990000244099000000,244099,10,2486.6|2486.7|2486.8
2588,990002068099000000,2068099,2,2588.1|2588.2
27,990001565099000000,1565099,10,27.1|27.2|27.10
2710,990001072099000000,1072099,66,2710.49|2710.36|2710.60
2828,990000247099000000,247099,4,2828.1|2828.2|2828.3
2923,990000663099000000,663099,60,2923.6|2923.26|2923.17
30,990002707099000000,2707099,1,30.27
3042,990000248099000000,248099,9,3042.8|3042.10|3042.1
3072,990000249099000000,249099,9,3072.8|3072.9|3072.1
3109,990000664099000000,664099,8,3109.1|3109.2|3109.8
3362,990000250099000000,250099,10,3362.3|3362.4|3362.5
3381,990002276099000000,2276099,9,3381.1|3381.3|3381.4
34,990001568099000000,1568099,1,34.2
3429,990001076099000000,1076099,6,3429.6|3429.1|3429.2
351,990001570099000000,1570099,17,351.12|351.3|351.8
3564,990000665099000000,665099,7,3564.5|3564.1|3564.2
3785,990000666099000000,666099,9,3785.5|3785.6|3785.10
3960,990001080099000000,1080099,18,3960.5|3960.16|3960.6
4009,990000667099000000,667099,16,4009.10|4009.12|4009.2
4010,990000668099000000,668099,51,4010.5|4010.13|4010.50
4017,990001478099000000,1478099,16,4017.8|4017.1|4017.9
4020,990000669099000000,669099,65,4020.31|4020.3|4020.22
41,990000490099000000,490099,1,41.1
4110,990001491099000000,1491099,93,4110.38|4110.60|4110.3
45,990001575099000000,1575099,1,45/A
54,990001602099000000,1602099,43,54.24|54.6|54.42
594,990002220099000000,2220099,10,594.7|594.3|594.8
605,990000263099000000,263099,27,605.1|605.19|605.10
698,990001091099000000,1091099,20,698.6|698.15|698.20
718,990001286099000000,1286099,5,718.2|718.3|718.4
84,990001582099000000,1582099,3,84.55|84.56|84.64
ENA 1178,990000020099000000,20099,83,ENA 1178.19|ENA 1178.19|ENA 1178.14
ENA 1267,990000686099000000,686099,29,ENA 1267.9|ENA 1267.9|ENA 1267.10
ENA 147,990002277099000000,2277099,11,ENA 147.1|ENA 147.2|ENA 147.3
ENA 1492,990000694099000000,694099,54,ENA 1492.12|ENA 1492.12|ENA 1492.21
ENA 1687,990000703099000000,703099,20,ENA 1687.7|ENA 1687.7|ENA 1687.8
ENA 1717,990000704099000000,704099,8,ENA 1717.5|ENA 1717.1|ENA 1717.6
ENA 1750,990000707099000000,707099,10,ENA 1750.7|ENA 1750.3|ENA 1750.4
ENA 1867,990000712099000000,712099,49,ENA 1867.9|ENA 1867.9|ENA 1867.17
ENA 1953,990000715099000000,715099,12,ENA 1953.6|ENA 1953.6|ENA 1953.2
ENA 2038,990000718099000000,718099,9,ENA 2038.9|ENA 2038.5|ENA 2038.6
ENA 2080,990000723099000000,723099,47,ENA 2080.3|ENA 2080.3|ENA 2080.25
ENA 2107,990000724099000000,724099,20,ENA 2107.1|ENA 2107.2|ENA 2107.3
ENA 2123,990002555099000000,2555099,74,ENA 2123.32|ENA 2123.32|ENA 2123.7
ENA 2132,990000727099000000,727099,28,ENA 2132.5|ENA 2132.5|ENA 2132.14
ENA 2147,990000728099000000,728099,98,ENA 2147.17|ENA 2147.17|ENA 2147.61
ENA 2151,990000730099000000,730099,107,ENA 2151.41|ENA 2151.41|ENA 2151.86
ENA 2163,990000121099000000,121099,8,ENA 2163.1|ENA 2163.2|ENA 2163.3
ENA 2197,990000738099000000,738099,15,ENA 2197.1|ENA 2197.1|ENA 2197.2
ENA 2218,990002665099000000,2665099,10,ENA 2218.1|ENA 2218.2|ENA 2218.3
ENA 2424,990000754099000000,754099,18,ENA 2424.5|ENA 2424.5|ENA 2424.6
ENA 2478,990000759099000000,759099,32,ENA 2478.14|ENA 2478.14|ENA 2478.5
ENA 2491,990000760099000000,760099,12,ENA 2491.1|ENA 2491.10|ENA 2491.2
ENA 2512,990000763099000000,763099,11,ENA 2512.1|ENA 2512.1|ENA 2512.6
ENA 2539,990000765099000000,765099,2,ENA 2539.1|ENA 2539.1
ENA 2592,990000775099000000,775099,58,ENA 2592.11|ENA 2592.11|ENA 2592.21
ENA 2627,990002298099000000,2298099,245,ENA 2627.70|ENA 2627.70|ENA 2627.25
ENA 2672,990000782099000000,782099,97,ENA 2672.18|ENA 2672.18|ENA 2672.9
ENA 2690,990000789099000000,789099,4,ENA 2690.1|ENA 2690.1|ENA 2690.2
ENA 2708,990000796099000000,796099,138,ENA 2708.30|ENA 2708.30|ENA 2708.52
ENA 2752,990000808099000000,808099,60,ENA 2752.21|ENA 2752.21|ENA 2752.32
ENA 2755,990000144099000000,144099,42,ENA 2755.12|ENA 2755.12|ENA 2755.2
ENA 2795,990000813099000000,813099,16,ENA 2795.3|ENA 2795.3|ENA 2795.4
ENA 2819,990000816099000000,816099,36,ENA 2819.4|ENA 2819.4|ENA 2819.13
ENA 2857,990000091099000000,91099,107,ENA 2857.51|ENA 2857.51|ENA 2857.8
ENA 2874,990000832099000000,832099,20,ENA 2874.1|ENA 2874.1|ENA 2874.10
ENA 2878,990000835099000000,835099,12,ENA 2878.1|ENA 2878.1|ENA 2878.2
ENA 2885,990000836099000000,836099,45,ENA 2885.21|ENA 2885.21|ENA 2885.1
ENA 2923,990000845099000000,845099,118,ENA 2923.6|ENA 2923.6|ENA 2923.26
ENA 2929,990000846099000000,846099,20,ENA 2929.10|ENA 2929.10|ENA 2929.1
ENA 2971,990000858099000000,858099,27,ENA 2971.5|ENA 2971.5|ENA 2971.1
ENA 2972,990000859099000000,859099,20,ENA 2972.7|ENA 2972.7|ENA 2972.8
ENA 3001,990000862099000000,862099,32,ENA 3001.7|ENA 3001.7|ENA 3001.8
ENA 3015,990000866099000000,866099,46,ENA 3015.5|ENA 3015.5|ENA 3015.13
ENA 3020,990000868099000000,868099,54,ENA 3020.15|ENA 3020.15|ENA 3020.6
ENA 3043,990000870099000000,870099,31,ENA 3043.5|ENA 3043.5|ENA 3043.14
ENA 3044,990000871099000000,871099,19,ENA 3044.8|ENA 3044.8|ENA 3044.9
ENA 3121,990000887099000000,887099,12,ENA 3121.4|ENA 3121.4|ENA 3121.5
ENA 3174,990000889099000000,889099,38,ENA 3174.14|ENA 3174.14|ENA 3174.5
ENA 3196,990000891099000000,891099,22,ENA 3196.9|ENA 3196.9|ENA 3196.4
ENA 3199,990000892099000000,892099,19,ENA 3199.3|ENA 3199.3|ENA 3199.10
ENA 3279,990000899099000000,899099,28,ENA 3279.9|ENA 3279.9|ENA 3279.1
ENA 3447,990000924099000000,924099,13,ENA 3447.1|ENA 3447.1|ENA 3447.2
ENA 3481,990000935099000000,935099,20,ENA 3481.10|ENA 3481.10|ENA 3481.1
ENA 3487,990000936099000000,936099,14,ENA 3487.1|ENA 3487.1|ENA 3487.2
ENA 3639,990000942099000000,942099,18,ENA 3639.8|ENA 3639.9|ENA 3639.9
ENA 3698,990000947099000000,947099,20,ENA 3698.8|ENA 3698.8|ENA 3698.9
ENA 3742,990000949099000000,949099,17,ENA 3742.6|ENA 3742.6|ENA 3742.7
ENA 3778,990000953099000000,953099,16,ENA 3778.6|ENA 3778.6|ENA 3778.7
ENA 3785,990000955099000000,955099,19,ENA 3785.5|ENA 3785.5|ENA 3785.6
ENA 3795,990000956099000000,956099,17,ENA 3795.3|ENA 3795.3|ENA 3795.2
ENA 3824,990000958099000000,958099,10,ENA 3824.1|ENA 3824.1|ENA 3824.2
ENA 3828,990000959099000000,959099,19,ENA 3828.2|ENA 3828.2|ENA 3828.3
ENA 4009,990000970099000000,970099,32,ENA 4009.10|ENA 4009.10|ENA 4009.12
ENA 4010,990000971099000000,971099,105,ENA 4010.5|ENA 4010.5|ENA 4010.13
ENA 4034,990000978099000000,978099,40,ENA 4034.6|ENA 4034.6|ENA 4034.15
ENA 4044,990000979099000000,979099,10,ENA 4044.4|ENA 4044.4|ENA 4044.5
ENA 4048,990000980099000000,980099,27,ENA 4048.7|ENA 4048.7|ENA 4048.10
ENA 4053,990000202099000000,202099,3,ENA 4053.1|ENA 4053.2|ENA 4053.2
ENA 409,990000982099000000,982099,18,ENA 409.13|ENA 409.5|ENA 409.14
ENA 597,990000998099000000,998099,9,ENA 597.5|ENA 597.6|ENA 597.6
ENA 621,990000138099000000,138099,9,ENA 621.6|ENA 621.2|ENA 621.7
Gaster heb. ms 1863,990012191740000000,12191740,17,Gaster heb. ms 1863/1|Gaster heb. ms 1863/10|Gaster heb. ms 1863/11
Gaster heb. ms 1864,990012192740000000,12192740,10,Gaster heb. ms 1864/1|Gaster heb. ms 1864/10|Gaster heb. ms 1864/2
II,990000637099000000,637099,97,II.A.131|II.A.15bis|II.A.39bis
IV.B,990001507099000000,1507099,18,IV.B.10|IV.B.23|IV.B.24
MS heb. c.28,990001890099000000,1890099,70,MS heb. c.28/60|MS heb. c.28/3|MS heb. c.28/30
MS heb. d.35,990001943099000000,1943099,97,MS heb. d.35/65|MS heb. d.35/83|MS heb. d.35/74
MS heb. d.36,990001944099000000,1944099,52,MS heb. d.36/26|MS heb. d.36/7|MS heb. d.36/15
MS heb. d.45,990000067099000000,67099,15,MS heb. d.45/23|MS heb. d.45/11|MS heb. d.45/70
MS heb. d.61,990001957099000000,1957099,109,MS heb. d.61/42|MS heb. d.61/74|MS heb. d.61/9
MS heb. d.64,990001960099000000,1960099,121,MS heb. d.64/44|MS heb. d.64/18|MS heb. d.64/40
MS heb. d.80,990001972099000000,1972099,46,MS heb. d.80/5|MS heb. d.80/43|MS heb. d.80/14
MS heb. e.22,990001983099000000,1983099,7,MS heb. e.22/6|MS heb. e.22/7|MS heb. e.22/1
MS heb. e.25,990001985099000000,1985099,89,MS heb. e.25/49|MS heb. e.25/67|MS heb. e.25/75
MS heb. e.36,990001990099000000,1990099,69,MS heb. e.36/65|MS heb. e.36/20|MS heb. e.36/2
MS heb. e.37,990001991099000000,1991099,103,MS heb. e.37/86|MS heb. e.37/5|MS heb. e.37/68
MS heb. e.40,990001993099000000,1993099,79,MS heb. e.40/13|MS heb. e.40/68|MS heb. e.40/40
MS heb. e.41,990001994099000000,1994099,162,MS heb. e.41/116|MS heb. e.41/43|MS heb. e.41/34
MS heb. e.82,990002016099000000,2016099,17,MS heb. e.82/17|MS heb. e.82/1|MS heb. e.82/9
MS heb. f.102,990000146099000000,146099,51,MS heb. f.102/50|MS heb. f.102/22|MS heb. f.102/9
MS heb. f.106,990002024099000000,2024099,69,MS heb. f.106/38|MS heb. f.106/29|MS heb. f.106/58
MS heb. f.29,990002030099000000,2030099,79,MS heb. f.29/21|MS heb. f.29/13|MS heb. f.29/30
MS heb. f.53,990002039099000000,2039099,98,MS heb. f.53/57|MS heb. f.53/21|MS heb. f.53/75
MS heb. f.58,990002041099000000,2041099,91,MS heb. f.58/66|MS heb. f.58/11|MS heb. f.58/83
"Moss. II,99",990001532099000000,1532099,3,"Moss. II,99.2|Moss. II,99.1|Moss. II,99.3"
"Moss. Ia,20",990001529099000000,1529099,2,"Moss. Ia,20.1|Moss. Ia,20.2"
OR 10429,990002102099000000,2102099,12,OR 10429.1|OR 10429.2|OR 10429.3
OR 10655,990002316099000000,2316099,2,OR 10655.3|OR 10655.25
Or.1080 7,990000039099000000,39099,20,Or.1080 7.15|Or.1080 7.16|Or.1080 7.19
T-S 10K16,990000162099000000,162099,20,T-S 10K16.6|T-S 10K16.7|T-S 10K16.16
T-S 13J27,990001769099000000,1769099,22,T-S 13J27.3|T-S 13J27.21|T-S 13J27.13
T-S 6H2,990002302099000000,2302099,1,T-S 6H2.9
T-S 6J11,990002675099000000,2675099,13,T-S 6J11.4|T-S 6J11.13|T-S 6J11.6
