siglum	library_he	shelfmark	details
א	אוקספורד	Heb. c. 20.16	סדר רב עמרם גאון (בבלי). לבית האבל. מכיל את כל ברכת המזון.
ב	אוקספורד	Heb. d. 25.13	בבלי ("מקדש השבת"). ברכה שלמה ללא זימון.
ג	אוקספורד	Heb. d. 31.11	לבית האבל. ברכה שלמה כולל זימון. פינקלשטיין, ברכת המזון, גניזה א.
ד	אוקספורד	Heb. d. 41.5-6	בבלי (עמידה כמנהג בבל). חלק מסידור. בגיליון ברכת המזון לשבת במלואה. ניקוד בבלי וטברני. וידר, נוסח הע
	ניו יורק, JTS	ENA 2017.8-9	
	קימברידג', ספריית האוניברסיטה	T-S 10H1.5	
ה	אוקספורד	Heb. d. 55.15-16	בבלי ("אלהי נצור", "מקדש השבת"). חלק מסידור. תוספת שבת לברכת המזון.
	ניו יורק, JTS	ENA 2017.13	
ו	אוקספורד	Heb. e. 34.62	מפויט, לשמיני עצרת. "אמן בימינו".
ז1	אוקספורד	Heb. e. 35.8-9	מפויט, לחנוכה ולפורים. "אמן בימינו".
ז2	אוקספורד	Heb. e. 35.21	מפויט, לבית חתנים, זימון "שהשמחה במעונו".
ח	אוקספורד	Heb. e. 55.18-19	סידור רס"ג, הוראות לברכת המזון לסעודה ולחתונה. מכיל חלק מן הזימון והתוספות לברכת המזון.
ט	אוקספורד	Heb. e. 71.21	מפויט, ברכת מזון לחתן. חלק מסידור. מכיל תחילת ברכה ד.
י	אוקספורד	Heb. e. 93.58	חלק מסידור, ברכה ד ובקשות הרחמן. הוראות בערבית. דף אחד, פגום.
יא	אוקספורד	Heb. e. 96.1-2	סידור רס"ג. ברכות א-ג.
יב1	אוקספורד	Heb. f. 36.74	ארץ ישראלי ("אלהי דויד הוא בונה את ירושלים", "תתברכו"). ברכה ב עד הסוף. "אמן בימינו".
	קימברידג', ספריית האוניברסיטה	T-S NS 271.14	
יב2	אוקספורד	Heb. f. 36.74-76	ארץ ישראלי ("אלהי דויד הוא הבונה ברחמיו את ירושלים", "תתברכו"). ברכת הזן מפויטת לשבת. "אמן בימינו".
יג	אוקספורד	Heb. f. 47.6-9	חלק מסידור. מכיל את הזימון, ברכות א-ג, בקשות הרחמן.
יד	אוקספורד	Heb. f. 100.50	ברכון. מכיל את בקשות הרחמן.
טו	אוקספורד	Heb. f. 106.40-41	ברכון. לחול ולשבת, מכיל ברכות א-ד.
טז	אוקספורד	Heb. f. 107.41	ארץ ישראלי ("נברך על המזון"). חלק מסידור. מכיל זימון ואת פתיחת ברכה א.
יז	אוקספורד	Heb. g. 2.43	סדרי ברכות. זימון ותחילת ברכת המזון לבית האבל.
יח	בודפשט	Gen 33.11	
יט	בודפשט	Gen 429	
כ	בודפשט	M89	
כא	בודפשט	M91 (שייבר, ידיעות המכון עמ' 150-151)	
כב	וינה, ריינר	H 2	
כג	וינה, ריינר	H 119	
כד	ירושלים, הספרייה הלאומית	577.4.50	
כה	ירושלים, הספרייה הלאומית	577.4.93	
כו	ירושלים, הספרייה הלאומית	577.4.95	
כז	לונדון, הספרייה הבריטית	OR. 5557C.1-7	
כח	לונדון, הספרייה הבריטית	OR. 5557F.40	
כט	לונדון, הספרייה הבריטית	OR. 5557O.30	
ל	לונדון, הספרייה הבריטית	OR. 5557Q.18-19	
לא	לונדון, הספרייה הבריטית	OR. 5557Q.40-41	
לב	לונדון, הספרייה הבריטית	OR. 5557T.22-23	
לג	לונדון, הספרייה הבריטית	OR. 5557U.47	
לד	לונדון, הספרייה הבריטית	OR. 9772D	
לה	לונדון, הספרייה הבריטית	OR. 10578R.106 (Gaster 1358.106)	
לו	לונדון, הספרייה הבריטית	OR. 10656.10 (Gaster 1759.10)	
לז	לונדון, הספרייה הבריטית	OR. 10656.22 (Gaster 1759.22)	
לח	לונדון, הספרייה הבריטית	OR. 12186.28	
לט	לטשוורת	ששון 219	
מ	בודפשט	Ms. 920.22	
מא	מנצ'סטר	A 138	
מב	מנצ'סטר	B 2089	
מג	מנצ'סטר	B 2091	
מד	מנצ'סטר	B 2998	
מה	מנצ'סטר	B 3307	
מו	מנצ'סטר	B 3830	
מז	מנצ'סטר	B 4255	
מח	מנצ'סטר	B 4800	
	מנצ'סטר	B 5207	
מט	מנצ'סטר	B 4910	
נ	מנצ'סטר	B 5041	
נא	מנצ'סטר	B 5394	
נב	ניו יורק, JTS	ENA 567.5	
נג	ניו יורק, JTS	ENA 684.5	
נד	ניו יורק, JTS	ENA 695.10-11	
נה	ניו יורק, JTS	ENA 907.4	
נו	ניו יורק, JTS	ENA 964.11-12	
נז	ניו יורק, JTS	ENA 964.13	
נח	ניו יורק, JTS	ENA 964.14	
נט	ניו יורק, JTS	ENA 964.15-16	
	קימברידג', ספריית האוניברסיטה	T-S NS 230.29	
ס	ניו יורק, JTS	ENA 964.17-18	
סא	ניו יורק, JTS	ENA 1055.12-13	
סב	ניו יורק, JTS	ENA 1157.28	
סג	ניו יורק, JTS	ENA 1219	
סד	ניו יורק, JTS	ENA 1640.2	
סה	ניו יורק, JTS	ENA 1750.1-8	
סו	ניו יורק, JTS	ENA 2017.3	
סז	ניו יורק, JTS	ENA 2018.8	
סח	ניו יורק, JTS	ENA 2138.1-2	
סט	ניו יורק, JTS	ENA 2138.3-4	
ע	ניו יורק, JTS	ENA 2138.5-6	
עא	ניו יורק, JTS	ENA 2138.8	
עב	ניו יורק, JTS	ENA 2138.9	
עג	ניו יורק, JTS	ENA 2139.7	
עד	ניו יורק, JTS	ENA 2150.11-12	
עה	ניו יורק, JTS	ENA 2150.47	
עו	ניו יורק, JTS	ENA 2183.2-3	
עז	ניו יורק, JTS	ENA 2480.1-2	
	ניו יורק, JTS	ENA 2840.52-53	
עח	ניו יורק, JTS	ENA 2480.3	
עט	ניו יורק, JTS	ENA 2712.44	
פ	ניו יורק, JTS	ENA 2763.18-19	
פא	ניו יורק, JTS	ENA 2835.1-4	
פב	ניו יורק, JTS	ENA 2841.49	
פג	ניו יורק, JTS	ENA 2842.28-30	
פד	ניו יורק, JTS	ENA 2853.31	
פה	ניו יורק, JTS	ENA 2854.11	
פו	ניו יורק, JTS	ENA 2856.2-4	
פז	ניו יורק, JTS	ENA 2859.11	
פח	ניו יורק, JTS	ENA 2880.1	
פט	ניו יורק, JTS	ENA 2919.30-31	
צ	ניו יורק, JTS	ENA 2998.2-5	
צא	ניו יורק, JTS	ENA 3083.1-8	
צב	ניו יורק, JTS	ENA 3142.2	
צג	ניו יורק, JTS	ENA 3224.1	
צד	ניו יורק, JTS	ENA 3224.8	
צה	ניו יורק, JTS	ENA 3256.15-16	
צו	ניו יורק, JTS	ENA 3283.2-3	
צז	ניו יורק, JTS	ENA 3500.9	
	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	II,250	
צח	ניו יורק, JTS	ENA 3714.1	
צט	ניו יורק, JTS	ENA 3827.5	
ק	ניו יורק, JTS	ENA 3846.5	
קא	ניו יורק, JTS	MS 4748.34-38 (ENA 4036.34-38)	
קב	ניו יורק, JTS	ENA NS 22.24	
קג	ניו יורק, JTS	ENA NS 24.32	
קד	ניו יורק, JTS	ENA NS 52.12	
קה	ניו יורק, JTS	ENA NS 78.75	
קו	ניו יורק, JTS	Krengel 37	
קז	סט. פטרבורג	Evr. III B 30	
קח	סט. פטרבורג	Evr. III B 122	
קט	סט. פטרבורג	Evr. III B 232	
קי	סט. פטרבורג	Evr. III B 977	
קיא	סט. פטרבורג	Evr. III B 1052	
קיב	סט. פטרבורג	Evr. III B 1059	
קיג1	סינסינטי, היברו יוניון קולג'	Ms. 1197	
	סינסינטי, היברו יוניון קולג'	Ms. 1231	
קיג2	סינסינטי, היברו יוניון קולג'	Ms. 1197	
	סינסינטי, היברו יוניון קולג'	Ms. 1231	
קיד	סינסינטי, היברו יוניון קולג'	Ms. 1200	
קטו	סינסינטי, היברו יוניון קולג'	Ms. 1259	
	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. II.85	
קטז	פילדלפיה	Ms. Genizah 151	
