cluster,sys_id,library,title
3,990000465330205171,Allony,פרוש ספר הענק.
3,990000555790205171,RNL,אבות דרבי נתן נוסח א : ; קטעים מפרקים א-ב.
3,990000571680205171,RNL,"נביאים ראשונים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
3,990000571690205171,RNL,"תורה (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
3,990000571700205171,RNL,"נביאים אחרונים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
3,990000571710205171,RNL,"תורה (דברים לא:י-לד:יב) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
3,990000571720205171,RNL,נביאים (קטעים).
3,990000571730205171,RNL,"נביאים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
3,990000571740205171,RNL,"כתובים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
3,990000571850205171,RNL,נביאים אחרונים (קטעים).
3,990000571860205171,RNL,נביאים אחרונים (קטעים).
3,990000571870205171,RNL,"נביאים וכתובים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
3,990000571880205171,RNL,"תורה (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
3,990000571890205171,RNL,"כתובים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
3,990000589160205171,RNL,קובץ.
3,990000621930205171,RNL,קובץ ברפואה.
3,990000621960205171,RNL,שאילתות.
3,990000622750205171,RNL,משנה תורה (ספר קדושה).
3,990000622760205171,RNL,הלכות ופירוש התפלות.
3,990000623220205171,RNL,פרוש כתובים (איוב ל:כג-לא:לד).
3,990000628290205171,RNL,"תורה (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה."
3,990000628310205171,RNL,דרשות על התורה.
3,990000635770205171,RNL,כתאב אלאסתבצאר : ; בערבית.
3,990000635780205171,RNL,כתאב אלאסתבצאר : ; בערבית.
3,990000639020205171,RNL,שירים מאת משוררים מספרד.
3,990000800560205171,RNL,תרגום ופרוש ערבי לכתובים (תהלים).
3,990000800640205171,RNL,מדרש דוד.
3,990000800700205171,RNL,חבור ההגות (קטע בערבית).
3,990000801350205171,RNL,פרוש כתובים לנתנאל (קהלת) בערבית.
3,990000814650205171,RNL,חבור במוסר (קטע) : ; בערבית.
3,990000814700205171,RNL,חבור בהגות (קטע בערבית).
3,990000843000205171,RNL,קובץ.
3,990000843090205171,RNL,קובץ קראי.
3,990000843210205171,RNL,ספר המבחר : ; פרוש התורה.
3,990000845720205171,RNL,תחכמוני (חלקים).
3,990000845730205171,RNL,תחכמוני.
3,990000845740205171,RNL,תחכמוני (חלקים).
3,990000845950205171,RNL,ספר השרשים.
3,990000846670205171,RNL,חזוק אמונה.
3,990000846740205171,RNL,תחכמוני (קטעים).
3,990000846760205171,RNL,תחכמוני (בלתי שלם).
3,990000846770205171,RNL,תחכמוני (בלתי שלם).
3,990000846780205171,RNL,תחכמוני (לקוטים).
3,990000846790205171,RNL,תחכמוני (חלקים).
3,990000846800205171,RNL,תחכמוני (בלתי שלם).
3,990000846810205171,RNL,תחכמוני (קטע).
3,990000846820205171,RNL,מקמה (קטע).
3,990000846830205171,RNL,תחכמוני (חלקים).
3,990000847280205171,RNL,תחכמוני (חלקים).
3,990000847290205171,RNL,תחכמוני (בלתי שלם).
3,990000847300205171,RNL,תחכמוני (בלתי שלם).
3,990000847310205171,RNL,מקמת ימימה (קטעים).
3,990000847320205171,RNL,מקמה (קטע).
3,990000848260205171,RNL,"אוצר נחמד : ; פרוש על פרוש התורה לראב""ע."
3,990000849190205171,RNL,קובץ באסטרולוגיה.
3,990000849980205171,RNL,"מדרש הבאור (דברים, כי תצא)."
3,990000850220205171,RNL,מקמת אחיטוב בן חכמוני.
3,990000850530205171,RNL,פרוש כתובים (שיר השירים ח:ז-ח:ח).
3,990000850590205171,RNL,מנחת יהודה שונא הנשים (קטע).
3,990000850640205171,RNL,מנחת יהודה שונא הנשים (קטע).
3,990000850670205171,RNL,דיואן (קטע).
3,990000850720205171,RNL,יומן מסע לירושלים.
3,990000850740205171,RNL,ערוגות הבשמים.
3,990000850810205171,RNL,פרקי רבי אליעזר.
3,990000850820205171,RNL,פרוש מסכת אבות.
3,990000850900205171,RNL,קובץ קראי.
3,990000851150205171,RNL,ספר המצוות ללוי בן יפת.
3,990000851200205171,RNL,תחכמוני (חלקים).
3,990000851350205171,RNL,משנה תורה (ספר קדושה).
3,990000851470205171,RNL,אשכול הכופר.
3,990000851500205171,RNL,ספר השרשים (חלקים).
3,990000851520205171,RNL,ספר השרשים (קטעים).
3,990000851530205171,RNL,ספר השרשים (קטעים).
3,990000851540205171,RNL,ספר השרשים (בלתי שלם).
3,990000851550205171,RNL,ספר השרשים (בלתי שלם).
3,990000851580205171,RNL,מכלול (בלתי שלם).
3,990000851610205171,RNL,גן עדן (בלתי שלם).
3,990000851620205171,RNL,שפת יתר (בלתי שלם).
3,990000851640205171,RNL,שפת יתר (בלתי שלם).
3,990000851770205171,RNL,תרגום ירושלמי לתורה (לקוטים).
3,990000852110205171,RNL,קובץ חבורי יוסף בן תנחום הירושלמי.
3,990000852200205171,RNL,פרקי רבי אליעזר (קטעים).
3,990000852470205171,RNL,"פרוש התורה (ויקרא יט:א-כא:א, קטעים)."
3,990000852760205171,RNL,קובץ חבורי משה בשיצי.
3,990000852930205171,RNL,"משנה תורה (ספר משפטים, הלכות טוען ונטען ד-ה)."
3,990000853160205171,RNL,"פרוש התורה לראב""ע (שמות, קטע)."
3,990000853270205171,RNL,קובץ קטעים דתיים בערבית-יהודית.
