sys_id,shelfmark,lib,catalog_title,work_id,cat,genre,author,work,mesirah,pages,p_test,p_part,p_cit,letters,best_cov,best_density,cls,tier
990000851150205171,Ms. EVR II A 66,RNL,ספר המצוות ללוי בן יפת.,M:Ytext665000,Maagarim,ספרות הקראים,מתרגם לא ידוע,"ספר מצוות ללוי בן יפת הלוי, תרגום",,40,40,0,0,141462,1.0,0.0705,testimony,
990000895680205171,Ms. Evr. Antonin A 1,RNL,"תנ""ך.",M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,56,40,14,2,72547,0.994,0.1938,testimony,
990000991200205171,Ms. EVR II B 83,RNL,"נביאים וכתובים : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,38,38,0,0,51739,1.0,0.0343,testimony,
990001568660205171,Ms. EVR II B 344,RNL,"תנ""ך (קטעים).",M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,29,26,3,0,50363,1.0,0.0687,testimony,
990000571720205171,Ms. EVR II B 25,RNL,נביאים (קטעים).,M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,85,85,0,0,50009,1.0,0.0745,testimony,
990001565960205171,Ms. EVR II B 21,RNL,"תנ""ך.",M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,35,30,5,0,49789,0.951,0.0579,testimony,
990001565890205171,Ms. EVR II B 9,RNL,נביאים אחרונים.,M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,55,52,3,0,47845,1.0,0.0395,testimony,
990001565840205171,Ms. EVR II B 3,RNL,נביאים אחרונים וכתובים.,M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,39,39,0,0,47290,1.0,0.0481,testimony,
990000571730205171,Ms. EVR II B 124,RNL,"נביאים (קטעים) : ; עם ניקוד וטעמים, מסורה קטנה וגדולה.",M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,45,42,3,0,46205,1.0,0.0501,testimony,
990001566390205171,Ms. EVR II B 105,RNL,תורה והפטרות.,M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,34,34,0,0,44161,1.0,0.0304,testimony,
990000895690205171,Ms. Evr. Antonin A 3,RNL,משנה תורה (ספר שופטים).,M:Ytext270014,Maagarim,ספרות רבנית,משה בן מיימון (רמב״ם),"משנה תורה, ספר שופטים",,33,33,0,0,43135,1.0,0.133,testimony,
